"","Metabolite","Estimate","SE","LCI","UCI","Pval"
"199","MUFA",1.12904285013974,0.0762171638103513,0.971655453003896,1.31024116937809,0.111288884879132
"181","VLDL.TG",1.13073817400091,0.0777529231460087,0.971818025172986,1.31830830842467,0.114044873614717
"101","XXL.VLDL.FC..",1.18620672393562,0.108786909126596,0.977074086711756,1.48657586429527,0.116489676198703
"200","SFA",1.12757860356383,0.0766782105114788,0.969495729994349,1.30968409323615,0.117365632574723
"51","L.LDL.PL",0.886746137142554,0.0775592489400452,0.761058770644226,1.03162391796554,0.121204332375352
"89","M.HDL.FC",1.1239039268287,0.0755355540443837,0.968508382556048,1.30247802922795,0.12200769798523
"99","XXL.VLDL.C..",0.888300498532075,0.0780500857009191,0.762141668270151,1.03699634595698,0.129126953931569
"26","M.VLDL.FC",1.11882524488112,0.0747148399789537,0.963821895178389,1.29222833864859,0.132898273893248
"45","IDL.C",0.891941050221436,0.0763640403905726,0.768011215468519,1.03614805798869,0.134262915164258
"111","L.VLDL.FC..",1.15869744520444,0.0985635770325378,0.970579428739013,1.42862766475151,0.135062958621689
"130","IDL.CE..",1.12836088151523,0.0810917121134385,0.963344178303469,1.32389881122727,0.136420899359187
"4","XXL.VLDL.CE",1.11649100032392,0.0740262139017324,0.962022740663146,1.28655550418415,0.136609427083992
"21","M.VLDL.P",1.11667117746675,0.0745810197860371,0.961691793428973,1.28878285288876,0.138972794970099
"132","IDL.TG..",1.11712214712279,0.0753128317201258,0.962227508543612,1.29296945747448,0.141396389882867
"18","L.VLDL.CE",1.11534775874515,0.0743613277848825,0.961149843341976,1.28690634018936,0.142090275468413
"106","XL.VLDL.FC..",1.16346964347937,0.105323842790586,0.968227813511405,1.46279921535672,0.150566298350029
"22","M.VLDL.L",1.11527791690798,0.0759881269524087,0.959752734034247,1.29306242094438,0.151059731769648
"43","IDL.L",0.899396051594467,0.0757519895205046,0.775955995696461,1.04443464736445,0.161596312549796
"32","S.VLDL.CE",0.898978711409468,0.0764117725625172,0.772904157863509,1.0429571132072,0.163404904447609
"23","M.VLDL.PL",1.10925653570111,0.0752158604138236,0.954897791961625,1.28272371323677,0.16802870629008
"221","Tyr",1.11141678046735,0.0778737776114002,0.953875682385018,1.29458339976492,0.174940948233124
"227","Gp",1.10786004078389,0.0761625292307258,0.953548184852097,1.2854919792933,0.178660592859999
"38","XS.VLDL.C",0.904306755877342,0.0765005186297097,0.777583538257922,1.0496580583471,0.188560594156771
"171","Serum.C",0.905725266670468,0.0761189723959856,0.780571652027041,1.05213294806971,0.193310292152433
